         151919 function calls (145200 primitive calls) in 1.406 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:267(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:268(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:278(BoundSymbol)
        9    0.000    0.000    0.059    0.007 __init__.py:282(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:286(_GlobalLogManager)
        9    0.000    0.000    0.043    0.005 __init__.py:296(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:299(BoundReference)
        2    0.000    0.000    0.000    0.000 __init__.py:3(<module>)
       15    0.000    0.000    0.000    0.000 __init__.py:308(getMessage)
        1    0.000    0.000    0.000    0.000 __init__.py:320(CDLL)
       15    0.000    0.000    0.005    0.000 __init__.py:320(_buslog)
        1    0.000    0.000    0.000    0.000 __init__.py:327(expose)
        1    0.000    0.000    0.000    0.000 __init__.py:328(Binding)
        5    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:337(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:347(_FuncPtr)
        9    0.000    0.000    0.060    0.007 __init__.py:351(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:357(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:363(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:363(__init__)
       15    0.000    0.000    0.000    0.000 __init__.py:366(usesTime)
       15    0.000    0.000    0.000    0.000 __init__.py:369(format)
        1    0.000    0.000    0.000    0.000 __init__.py:370(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:372(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:376(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:381(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:385(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:394(HRESULT)
        5    0.005    0.001    0.397    0.079 __init__.py:40(open)
        1    0.000    0.000    0.000    0.000 __init__.py:403(Category)
        1    0.000    0.000    0.000    0.000 __init__.py:403(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:407(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:416(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:417(__init__)
